"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, function evaluation]",total_time,gBest_fitness
"['f20', 20, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",246.4,759.9996376037598
"['f20', 20, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",291.78,775.720931660655
"['f20', 20, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",243.71,759.9996376037598
"['f20', 20, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",291.42,759.9996376037598
"['f20', 20, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",292.68,769.8224111592076
"['f20', 20, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",242.62,759.9996376037598
"['f20', 20, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",291.55,759.9996376037598
"['f20', 20, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",244.58,759.9996376037598
"['f20', 20, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",286.61,759.9996376037598
"['f20', 20, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",291.05,764.1257731209225
"['f20', 30, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",364.77,1791.5499178562027
"['f20', 30, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",433.15,1803.2147991062268
"['f20', 30, -10, 10, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",369.07,1801.0820202566947
"['f20', 30, -10, 10, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",435.62,1804.8001068127546
"['f20', 30, -10, 10, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",436.48,1800.7926270029964
"['f20', 30, -100, 100, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",368.09,1739.9991703033447
"['f20', 30, -100, 100, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",431.83,1739.9991703033447
"['f20', 30, -100, 100, 15, 10, 5, 300, 5, 2.05, 2.5, 26250]",367.2,1739.9991703033447
"['f20', 30, -100, 100, 15, 10, 10, 300, 5, 2.05, 2.5, 30000]",428.45,1739.9991703033447
"['f20', 30, -100, 100, 15, 20, 5, 300, 5, 2.05, 2.5, 30000]",435.26,1753.5760069311739
"['f20', 50, -10, 10, 15, 5, 10, 300, 5, 2.05, 2.5, 26250]",603.75,4994.885978654423
"['f20', 50, -10, 10, 15, 5, 20, 300, 5, 2.05, 2.5, 30000]",699.38,4998.6943257182875
