"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, crossover_rate, mutation_rate, function evaluation]",total_time,gBest_fitness
"['f20', 20, -10, 10, 100, 0.4, 0.05, 250, 25000]",203.31,761.262
"['f20', 20, -10, 10, 100, 0.4, 0.05, 300, 30000]",243.94,763.174
"['f20', 20, -10, 10, 100, 0.4, 0.06, 250, 25000]",205.53,761.96
"['f20', 20, -10, 10, 100, 0.4, 0.06, 300, 30000]",244.25,761.535
"['f20', 20, -10, 10, 100, 0.5, 0.05, 250, 25000]",202.29,761.568
"['f20', 20, -10, 10, 100, 0.5, 0.05, 300, 30000]",240.71,761.704
"['f20', 20, -10, 10, 100, 0.5, 0.06, 250, 25000]",205.46,761.846
"['f20', 20, -10, 10, 100, 0.5, 0.06, 300, 30000]",241.54,761.723
"['f20', 20, -10, 10, 200, 0.4, 0.05, 150, 30000]",243.54,760.89
"['f20', 20, -10, 10, 200, 0.4, 0.06, 150, 30000]",244.0,761.636
"['f20', 20, -10, 10, 200, 0.5, 0.05, 150, 30000]",246.54,761.176
"['f20', 20, -10, 10, 200, 0.5, 0.06, 150, 30000]",246.29,761.943
"['f20', 20, -100, 100, 100, 0.4, 0.05, 250, 25000]",202.88,763.238
"['f20', 20, -100, 100, 100, 0.4, 0.05, 300, 30000]",252.26,763.108
"['f20', 20, -100, 100, 100, 0.4, 0.06, 250, 25000]",207.28,761.699
"['f20', 20, -100, 100, 100, 0.4, 0.06, 300, 30000]",246.26,761.662
"['f20', 20, -100, 100, 100, 0.5, 0.05, 250, 25000]",214.07,761.31
"['f20', 20, -100, 100, 100, 0.5, 0.05, 300, 30000]",243.47,763.215
"['f20', 20, -100, 100, 100, 0.5, 0.06, 250, 25000]",201.78,761.018
"['f20', 20, -100, 100, 100, 0.5, 0.06, 300, 30000]",244.68,762.66
"['f20', 20, -100, 100, 200, 0.4, 0.05, 150, 30000]",249.36,761.152
"['f20', 20, -100, 100, 200, 0.4, 0.06, 150, 30000]",243.48,761.066
"['f20', 20, -100, 100, 200, 0.5, 0.05, 150, 30000]",236.72,760.63
"['f20', 20, -100, 100, 200, 0.5, 0.06, 150, 30000]",259.8,760.936
"['f20', 30, -10, 10, 100, 0.4, 0.05, 250, 25000]",302.91,1743.278
"['f20', 30, -10, 10, 100, 0.4, 0.05, 300, 30000]",378.64,1741.918
"['f20', 30, -10, 10, 100, 0.4, 0.06, 250, 25000]",329.1,1743.464
"['f20', 30, -10, 10, 100, 0.4, 0.06, 300, 30000]",364.14,1741.967
"['f20', 30, -10, 10, 100, 0.5, 0.05, 250, 25000]",310.56,1742.1
"['f20', 30, -10, 10, 100, 0.5, 0.05, 300, 30000]",369.81,1742.585
"['f20', 30, -10, 10, 100, 0.5, 0.06, 250, 25000]",324.79,1742.996
"['f20', 30, -10, 10, 100, 0.5, 0.06, 300, 30000]",418.18,1743.235
"['f20', 30, -10, 10, 200, 0.4, 0.05, 150, 30000]",418.97,1740.918
"['f20', 30, -10, 10, 200, 0.4, 0.06, 150, 30000]",429.3,1741.406
"['f20', 30, -10, 10, 200, 0.5, 0.05, 150, 30000]",432.96,1741.441
